Time,Money,Balance,Position,Buy,Sell,StatWin,Buffer,Layer1,Layer2,Layer3,Layer4
20:00:00,100,94.81,4,4,0,1,0.27,-2.73,-2.73,0,0
20:00:00,100,94.81,4,4,0,1,0.27,-2.73,-2.73,0,0
20:30:00,100,94.81,4,4,0,1,0.27,-2.73,-2.73,0,0
20:30:00,100,94.81,4,4,0,1,0.27,-2.73,-2.73,0,0
21:00:00,100,94.81,4,4,0,1,0.27,-2.73,-2.73,0,0
21:00:00,100,94.81,4,4,0,1,0.27,-2.73,-2.73,0,0
21:30:00,100,94.81,4,4,0,1,0.27,-2.73,-2.73,0,0
21:30:00,100,94.81,4,4,0,1,0.27,-2.73,-2.73,0,0
22:00:00,100,94.81,4,4,0,1,0.27,-2.73,-2.73,0,0
22:00:00,100,94.81,4,4,0,1,0.27,-2.73,-2.73,0,0
22:30:00,100,94.81,4,4,0,1,0.27,-2.73,-2.73,0,0
22:30:00,100,94.81,4,4,0,1,0.27,-2.73,-2.73,0,0
23:00:00,100,94.81,4,4,0,1,0.27,-2.73,-2.73,0,0
23:00:00,100,94.81,4,4,0,1,0.27,-2.73,-2.73,0,0
23:30:00,100,94.81,4,4,0,1,0.27,-2.73,-2.73,0,0
23:30:00,100,94.81,4,4,0,1,0.27,-2.73,-2.73,0,0
