Time,Money,Balance,Position,Buy,Sell,StatWin,Buffer,Layer1,Layer2,Layer3,Layer4
6:08:20,23,23,0,0,0,0,0,0,0,0,0
6:30:00,23,23,0,0,0,0,0,0,0,0,0
6:30:00,23,23,0,0,0,0,0,0,0,0,0
7:00:00,23,23,0,0,0,0,0,0,0,0,0
7:00:00,23,23,0,0,0,0,0,0,0,0,0
7:30:00,23,23,0,0,0,0,0,0,0,0,0
7:30:00,23,23,0,0,0,0,0,0,0,0,0
8:00:00,23,23,0,0,0,0,0,0,0,0,0
8:00:00,23,23,0,0,0,0,0,0,0,0,0
8:30:00,23,23,0,0,0,0,0,0,0,0,0
8:30:00,23,23,0,0,0,0,0,0,0,0,0
9:00:00,23,23,0,0,0,0,0,0,0,0,0
9:00:00,23,23,0,0,0,0,0,0,0,0,0
9:30:00,23,23,0,0,0,0,0,0,0,0,0
9:30:00,23,23,0,0,0,0,0,0,0,0,0
10:00:00,23,23,0,0,0,0,0,0,0,0,0
10:00:00,23,23,0,0,0,0,0,0,0,0,0
10:30:00,23,23,0,0,0,0,0,0,0,0,0
10:30:00,23,23,0,0,0,0,0,0,0,0,0
11:00:00,23,23,0,0,0,0,0,0,0,0,0
11:00:00,23,23,0,0,0,0,0,0,0,0,0
11:30:00,23,23,0,0,0,0,0,0,0,0,0
11:30:00,23,23,0,0,0,0,0,0,0,0,0
12:00:00,23,23,0,0,0,0,0,0,0,0,0
12:00:00,23,23,0,0,0,0,0,0,0,0,0
12:30:00,23,23,0,0,0,0,0,0,0,0,0
12:30:00,23,23,0,0,0,0,0,0,0,0,0
13:00:00,23,23,0,0,0,0,0,0,0,0,0
13:00:00,23,23,0,0,0,0,0,0,0,0,0
13:30:00,23,23,0,0,0,0,0,0,0,0,0
13:30:00,23,23,0,0,0,0,0,0,0,0,0
14:00:00,23,23,0,0,0,0,0,0,0,0,0
14:00:00,23,23,0,0,0,0,0,0,0,0,0
14:30:00,23,23,0,0,0,0,0,0,0,0,0
14:30:00,23,23,0,0,0,0,0,0,0,0,0
15:00:00,23,23,0,0,0,0,0,0,0,0,0
15:00:00,23,23,0,0,0,0,0,0,0,0,0
15:30:00,23,23,0,0,0,0,0,0,0,0,0
15:30:00,23,23,0,0,0,0,0,0,0,0,0
16:00:00,23,23,0,0,0,0,0,0,0,0,0
16:00:00,23,23,0,0,0,0,0,0,0,0,0
16:30:00,23,23,0,0,0,0,0,0,0,0,0
16:30:00,23,23,0,0,0,0,0,0,0,0,0
17:00:00,23,23,0,0,0,0,0,0,0,0,0
17:00:00,23,23,0,0,0,0,0,0,0,0,0
17:30:00,23,23,0,0,0,0,0,0,0,0,0
17:30:00,23,23,0,0,0,0,0,0,0,0,0
18:00:00,23,23,0,0,0,0,0,0,0,0,0
18:00:00,23,23,0,0,0,0,0,0,0,0,0
18:30:00,23,23,0,0,0,0,0,0,0,0,0
18:30:00,23,23,0,0,0,0,0,0,0,0,0
19:00:00,23,23,0,0,0,0,0,0,0,0,0
19:00:00,23,23,0,0,0,0,0,0,0,0,0
19:30:00,23,23,0,0,0,0,0,0,0,0,0
19:30:00,23,23,0,0,0,0,0,0,0,0,0
20:00:00,23,23,0,0,0,0,0,0,0,0,0
20:00:00,23,23,0,0,0,0,0,0,0,0,0
20:30:00,23,23,0,0,0,0,0,0,0,0,0
20:30:00,23,23,0,0,0,0,0,0,0,0,0
21:00:00,23,19.9,1,0,1,0,0,-3.1,0,0,0
21:00:00,23,19.9,1,0,1,0,0,-3.1,0,0,0
21:30:00,23,19.9,1,0,1,0,0,-3.1,0,0,0
21:30:00,23,19.9,1,0,1,0,0,-3.1,0,0,0
22:00:00,23,19.9,1,0,1,0,0,-3.1,0,0,0
22:00:00,23,19.9,1,0,1,0,0,-3.1,0,0,0
22:30:00,23,19.9,1,0,1,0,0,-3.1,0,0,0
22:30:00,23,19.9,1,0,1,0,0,-3.1,0,0,0
23:00:00,23,19.9,1,0,1,0,0,-3.1,0,0,0
23:00:00,23,19.9,1,0,1,0,0,-3.1,0,0,0
23:30:00,23,19.9,1,0,1,0,0,-3.1,0,0,0
23:30:00,23,19.9,1,0,1,0,0,-3.1,0,0,0
